title,year,cast,genres
The Gatling Gun,1971,"['Guy Stockwell', 'BarBara Luna', 'Woody Strode']",['Western']
Going Home,1971,"['Robert Mitchum', 'Brenda Vaccaro', 'Sally Kirkland']",['Drama']
The Grissom Gang,1971,"['Kim Darby', 'Scott Wilson', 'Tony Musante']","['Crime', 'Noir']"
A Gunfight,1971,"['Kirk Douglas', 'Johnny Cash', 'Karen Black']",['Western']
Hannie Caulder,1971,"['Raquel Welch', 'Ernest Borgnine', 'Robert Culp', 'Strother Martin', 'Jack Elam', 'Christopher Lee']",['Western']
"Happy Birthday, Wanda June",1971,"['Rod Steiger', 'Don Murray', 'Susannah York']","['Comedy', 'Drama']"
The Hard Ride,1971,"['Robert Fuller', 'Sherry Bain', 'Tony Russel']",['Action']
Harold and Maude,1971,"['Bud Cort', 'Ruth Gordon', 'Vivian Pickles']","['Comedy', 'Drama', 'Romance']"
The Hellstrom Chronicle,1971,['Lawrence Pressman'],['Satire']
The Hired Hand,1971,"['Peter Fonda', 'Warren Oates', 'Verna Bloom']",['Western']
The Horsemen,1971,"['Omar Sharif', 'Leigh Taylor-Young', 'Jack Palance']",['Adventure']
The Hospital,1971,"['George C. Scott', 'Diana Rigg', 'Barnard Hughes']",['Drama']
A Howling in the Woods,1971,"['Barbara Eden', 'Larry Hagman', 'John Rubinstein', 'Vera Miles', 'Tyne Daly', 'Ruta Lee']",['Thriller']
How to Frame a Figg,1971,"['Don Knotts', 'Joe Flynn', 'Yvonne Craig']",['Comedy']
The Hunting Party,1971,"['Gene Hackman', 'Oliver Reed', 'Candice Bergen']",['Western']
The Incredible 2-Headed Transplant,1971,"['Bruce Dern', 'Pat Priest']","['Science Fiction', 'Horror']"
Jennifer on My Mind,1971,"['Michael Brandon', 'Tippy Walker', 'Steve Vinovich']",['Drama']
Johnny Got His Gun,1971,"['Timothy Bottoms', 'Diane Varsi', 'Donald Sutherland']","['Drama', 'War']"
Kidnapped,1971,"['Michael Caine', 'Trevor Howard', 'Donald Pleasence']","['Drama', 'Adventure']"
Klute,1971,"['Jane Fonda', 'Donald Sutherland', 'Roy Scheider']","['Mystery', 'Crime', 'Noir', 'Thriller']"
Kotch,1971,"['Walter Matthau', 'Deborah Winters', 'Felicia Farr']","['Comedy', 'Drama']"
The Last Movie,1971,"['Dennis Hopper', 'Toni Basil', 'Julie Adams']",['Drama']
